Số ĐKKD/MST,Tên công ty,Địa chỉ,Ngày thành lập,Ngày hoạt động,Trạng thái,Điện thoại,Người đại diện,Loại hình DN,Cập nhật lần cuối
1102071509,CÔNG TY TNHH PG LOGISTICS,"Số 388C, Ấp 3, Xã Tân Bửu, Huyện Bến Lức, Long An",03/10/2024,03/10/2024,Đang Hoạt Động,0967639229,Trần Thị Mỹ Linh,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 03/10/2024."
1102071548,CÔNG TY TNHH SẢN XUẤT DỊCH VỤ THƯƠNG MẠI THÉP LONG AN,"Thửa Số 139, Tờ Bản Đồ Số 25,Ấp 5, Xã Lương Bình, Huyện Bến Lức, Long An",03/10/2024,03/10/2024,Đang Hoạt Động,0975 188 488,Trịnh Văn Chuyền,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),"Cập nhật lần cuối
ngày 03/10/2024."
1102071467,CÔNG TY TNHH SX-TM BAO BÌ TÂN HẢI ÂU,"Thửa Đất Số 41, 73, 81, Tờ Bản Đồ Số 13, Xã Long Hiệp, Huyện Bến Lức, Long An",02/10/2024,02/10/2024,Đang Hoạt Động,0908706653,Phan Thị Hồng Cẩm,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),"Cập nhật lần cuối
ngày 02/10/2024."
1102071435,CÔNG TY TNHH TỰ NHIÊN THÀNH,"Số 10 Đường Phan Văn Mảng, Kp7, Thị Trấn Bến Lức, Huyện Bến Lức, Long An",02/10/2024,02/10/2024,Đang Hoạt Động,0382439939,Nguyễn Thanh Tính,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 02/10/2024."
1102071146,CÔNG TY TNHH THƯƠNG MẠI KỸ THUẬT XÂY DỰNG LONG CƯỜNG,"192A, Ấp 2, Xã An Thạnh, Huyện Bến Lức, Long An",01/10/2024,01/10/2024,Đang Hoạt Động,0703292414,Lê Quốc Cường,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),"Cập nhật lần cuối
ngày 01/10/2024."
1102070745,CÔNG TY TNHH XNK GRANGTING VIỆT,"B02-009.15 Khu Dân Cư Waterpoint, Xã An Thạnh, Huyện Bến Lức, Long An",27/09/2024,27/09/2024,Đang Hoạt Động,0938711106,Lê Tấn Phong,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 27/09/2024."
1102070671,CÔNG TY CỔ PHẦN ĐẦU TƯ TÂY NAM HƯNG PHÚ LONG AN,"Số 143, Khu Phố 9, Nguyễn Trung Trực, Thị Trấn Bến Lức, Huyện Bến Lức, Long An",26/09/2024,26/09/2024,Đang Hoạt Động,0906825268,Trần Văn Quang,Công Ty Cổ Phần Ngoài Quốc Doanh (100% Vốn Tư Nhân),"Cập nhật lần cuối
ngày 27/09/2024."
1102070294,CÔNG TY TNHH MEGMILK SNOW BRAND VIỆT NAM,"Lô C8A-1, C8A-2, C8B-3, Đường Dọc 1, Kcn Phú An Thạnh, Xã An Thạnh, Huyện Bến Lức, Long An",24/09/2024,24/09/2024,Đang Hoạt Động,0368873690,Takuya Yamauchi,Công Ty TNHH MTV Đầu Tư Nước Ngoài,"Cập nhật lần cuối
ngày 24/09/2024."
1102070287,CÔNG TY TNHH PHÚC AN THẠNH,"Khu Thương Mại Dịch Vụ Thuộc Lô Mc5, Đường D1, Khu Đô Thị Mớ, Xã An Thạnh, Huyện Bến Lức, Long An",24/09/2024,24/09/2024,Đang Hoạt Động,02854161718,Nguyễn Thị Hường,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 04/10/2024."
1102070311,CÔNG TY TNHH LỘC AN THẠNH,"Khu Thương Mại Dịch Vụ Thuộc Lô Mc5, Đường D1, Khu Đô Thị Mớ, Xã An Thạnh, Huyện Bến Lức, Long An",24/09/2024,24/09/2024,Đang Hoạt Động,02854161718,Nguyễn Thị Hường,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 04/10/2024."
1102069965,CÔNG TY TNHH MỘC NHIÊN XANH,"Số 44, Ấp Tấn Long, Xã Thanh Phú, Huyện Bến Lức, Long An",19/09/2024,19/09/2024,Đang Hoạt Động,0944 795181,Huỳnh Thị Bạch Yến,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),"Cập nhật lần cuối
ngày 19/09/2024."
1102069940,CÔNG TY TNHH THI CÔNG XÂY DỰNG - THƯƠNG MẠI ĐẶNG LÊ,"84 Đường Quốc Lộ 1A, Khu Phố 1, Ấp Voi Lá, Xã Long Hiệp, Huyện Bến Lức, Long An",18/09/2024,18/09/2024,Đang Hoạt Động,0794215768,Đặng Thị Trúc Ly,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 18/09/2024."
1102069588,CÔNG TY TNHH ĐIỆN CƠ KHÍ MÁY MÓC MINH HIỆP,"Số 8 Đường Số 7, Chợ Thuận Đạo, Thị Trấn Bến Lức, Huyện Bến Lức, Long An",16/09/2024,16/09/2024,Đang Hoạt Động,0917171831,Châu Thị Hoàng Oanh,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 16/09/2024."
0316817292-001,CHI NHÁNH CÔNG TY TNHH XUẤT NHẬP KHẨU NUTS CRUNCHY,"192 Nguyễn Văn Tuôi, Khu Phố 6, Thị Trấn Bến Lức, Huyện Bến Lức, Long An",13/09/2024,13/09/2024,Đang Hoạt Động,0849885285,Chan Shuk Kwan,Công Ty TNHH MTV Đầu Tư Nước Ngoài,"Cập nhật lần cuối
ngày 16/09/2024."
1102042579-001,CHI NHÁNH CÔNG TY TNHH GIÀY MỸ THÀNH,"77A Ấp 4, Xã Mỹ Yên, Huyện Bến Lức, Long An",12/09/2024,12/09/2024,Đang Hoạt Động,0908348280,Vòng Vềnh Phu,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 12/09/2024."
1102069450,CÔNG TY TNHH SẢN PHẨM NHỰA KIỆT PHONG,"Số 192 Nguyễn Văn Tuôi, Khu Phố 6, Thị Trấn Bến Lức, Huyện Bến Lức, Long An",12/09/2024,12/09/2024,Đang Hoạt Động,0965 976978,Ngô Tuyết Mai,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 12/09/2024."
1102069299,CÔNG TY TNHH PHÚ AN BL,"Số 159 Ấp Tấn Long, Xã Thanh Phú, Huyện Bến Lức, Long An",11/09/2024,11/09/2024,Đang Hoạt Động,098 101 4397,Đặng Tấn Phú An,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 11/09/2024."
1102069267,CÔNG TY TNHH HOÀNG KIM BL,"Số 12, Đường Số 9, Khu Dân Cư Đường 10, Khu Phố 3, Thị Trấn Bến Lức, Huyện Bến Lức, Long An",11/09/2024,11/09/2024,Đang Hoạt Động,076 513 6015,Trần Lê Diễm Quỳnh,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 11/09/2024."
1102069122,CÔNG TY TNHH XÂY DỰNG DỊCH VỤ PHƯƠNG MINH,"Số 470 Tổ 8, Đường Long Bình, Xã Long Hiệp, Huyện Bến Lức, Long An",09/09/2024,09/09/2024,Đang Hoạt Động,0932 519 144,Võ Thị Mỹ Cảnh,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 08/10/2024."
1102069108,CÔNG TY TNHH VẠN NIÊN VNT,"315 Ấp 6, Xã Thạnh Đức, Huyện Bến Lức, Long An",06/09/2024,06/09/2024,Đang Hoạt Động,0773909468,Trần Thanh Tuyền,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),"Cập nhật lần cuối
ngày 12/09/2024."
1102069108,CÔNG TY TNHH VẠN NIÊN VNT,"315 Ấp 6, Xã Thạnh Đức, Huyện Bến Lức, Long An",06/09/2024,06/09/2024,Đang Hoạt Động,0773909468,Trần Thanh Tuyền,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),"Cập nhật lần cuối
ngày 12/09/2024."
1102069027,CÔNG TY TNHH BẾN LỨC SATOPURE,"Nhà Xưởng 8, Lô N, Đường Số 10, Khu Công Nghiệp Phúc Long, Xã Long Hiệp, Huyện Bến Lức, Long An",06/09/2024,06/09/2024,Đang Hoạt Động,+84 383094125,Sato Masahiro,Công Ty TNHH MTV Đầu Tư Nước Ngoài,"Cập nhật lần cuối
ngày 16/09/2024."
1102068922,CÔNG TY TNHH NÔNG NGƯ CƠ DƯƠNG BÌNH,"Lô 1, Ấp 6, Xã Mỹ Yên, Huyện Bến Lức, Long An",06/09/2024,06/09/2024,Đang Hoạt Động,0979 657 617,Thạch Tuấn,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 06/09/2024."
1101250953-008,VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN NGUYÊN THỊNH TẠI LONG AN,"Số 25, Đường Số 3, Khu Dân Cư Nam Long, Xã An Thạnh, Huyện Bến Lức, Long An",06/09/2024,06/09/2024,Đang Hoạt Động,02723655612,Vũ Việt Cường,Công Ty Cổ Phần Ngoài Quốc Doanh (100% Vốn Tư Nhân),"Cập nhật lần cuối
ngày 09/09/2024."
1102069073,CÔNG TY TNHH SX - TM ANH NGUYÊN KHANG,"100 Đường H11, Khu Aquaria, Kđt Waterpoint, Xã An Thạnh, Huyện Bến Lức, Long An",06/09/2024,31/08/2024,Đang Hoạt Động,0981384539,Đào Văn Tùng,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),"Cập nhật lần cuối
ngày 23/09/2024."
1102068986,CÔNG TY CỔ PHẦN SẢN XUẤT VẮC XIN VÀ SINH PHẨM VNVC,"Lô A1-1, Đường Ngang 1 Của Khu Công Nghiệp Phú An Thạnh, Xã An Thạnh, Huyện Bến Lức, Long An",05/09/2024,05/09/2024,Đang Hoạt Động,02871026595,Ngô Chí Dũng,Công Ty Cổ Phần Ngoài Quốc Doanh (100% Vốn Tư Nhân),"Cập nhật lần cuối
ngày 05/09/2024."
1102068785,CÔNG TY TNHH MY ANS,"Số 13, Nguyễn Hữu Thọ, Khu Phố 3, Thị Trấn Bến Lức, Huyện Bến Lức, Long An",04/09/2024,04/09/2024,Đang Hoạt Động,0909 762 788,Lục Vĩ Nguyên,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 10/10/2024."
1102068721,CÔNG TY TNHH ĐÁ TỰ NHIÊN THỊNH PHÁT,"L07, Trụ Cầu 188, Ấp 4, Xã Thanh Phú, Huyện Bến Lức, Long An",04/09/2024,04/09/2024,Đang Hoạt Động,0788822882,Bùi Đức Xuân,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 04/09/2024."
0318471804-002,CHI NHÁNH LONG AN - CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ XUẤT NHẬP KHẨU SÀI GÒN THỊNH VƯỢNG,"Thửa Đất Số 440, Tờ Bản Đồ Số 6, 222 Ấp 9, Xã Lương Hòa, Huyện Bến Lức, Long An",04/09/2024,04/09/2024,Đang Hoạt Động,0934604345,Phạm Thụy Thúy Loan,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 04/09/2024."
1102068383,CÔNG TY TNHH TM SẢN XUẤT GỖ QUAN ĐĂNG,"14 Trần Thế Sinh, Khu Phố 10, Thị Trấn Bến Lức, Huyện Bến Lức, Long An",29/08/2024,29/08/2024,Đang Hoạt Động,0813943829,Trần Đăng Quan,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 29/08/2024."
1102068376,CÔNG TY TNHH TM DV ĐẦU TƯ TỔNG HỢP THÙY DƯƠNG,"14 Trần Thế Sinh, Khu Phố 10, Thị Trấn Bến Lức, Huyện Bến Lức, Long An",29/08/2024,29/08/2024,Không Hoạt Động Tại Địa Chỉ Đã Đăng Ký,0814697863,Võ Thị Thùy Dương,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 30/09/2024."
1102068489,CÔNG TY TNHH VÀNG BẠC ĐÁ QUÝ KIM PHƯỚC BẾN LỨC,"119 Phan Văn Mảng, Khu Phố 9, Thị Trấn Bến Lức, Huyện Bến Lức, Long An",29/08/2024,29/08/2024,Đang Hoạt Động,0938794567,Trần Đình Sang,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 29/08/2024."
1102068182,CÔNG TY TNHH TM DV SX PHÁT TRIỂN SONG LONG,"Số 65, Đường Mai Thị Non, Khu Phố 3, Thị Trấn Bến Lức, Huyện Bến Lức, Long An",29/08/2024,29/08/2024,Đang Hoạt Động,0778547370,Phạm Thị Dung,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 29/08/2024."
1102068249,CÔNG TY TNHH THUẬN HÒA LONG AN,"88 Ấp 1A, Xã Thanh Phú, Huyện Bến Lức, Long An",28/08/2024,28/08/2024,Đang Hoạt Động,0943837436,Nguyễn Thanh Phong,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 28/08/2024."
1102068111,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI LÁ PHONG XANH,"Lô B1-25, Kdc The Pearl Riverside, Thị Trấn Bến Lức, Huyện Bến Lức, Long An",28/08/2024,28/08/2024,Đang Hoạt Động,0901368048,Cao Thị Niềm,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),"Cập nhật lần cuối
ngày 28/08/2024."
1102068344,CÔNG TY TNHH SẢN XUẤT GIA CÔNG D.N,"Số 123 Ấp 1 Mỹ Yên, Xã Mỹ Yên, Huyện Bến Lức, Long An",28/08/2024,28/08/2024,Đang Hoạt Động,0945715949,Nguyễn Hoàng Dũng,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 29/08/2024."
1102067911,CÔNG TY TNHH SƠN XE MÁY Ô TÔ BÌNH PAINT,"Số 288, Khu Phố 8, Đường Phan Văn Mãng, Thị Trấn Bến Lức, Huyện Bến Lức, Long An",26/08/2024,26/08/2024,Đang Hoạt Động,0937196239,Phạm Kim Bình,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 26/08/2024."
1102067774,CÔNG TY TNHH SẢN XUẤT KINH DOANH VÀNG KIM NGỌC TÂM,"Lô F17 Chợ Mới Gò Đen, Ấp 4, Xã Phước Lợi, Huyện Bến Lức, Long An",23/08/2024,23/08/2024,Đang Hoạt Động,0846789011,Nguyễn Minh Tâm,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 24/09/2024."
1102067809,CÔNG TY TNHH TM VÀ DV VĂN PHÒNG PHẨM TRẦN ĐỨC,"99 Ấp 2, Xã Mỹ Yên, Huyện Bến Lức, Long An",23/08/2024,23/08/2024,Đang Hoạt Động,0915561104,Trần Đức,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 23/08/2024."
1102067735,CÔNG TY TNHH THIẾT BỊ XĂNG DẦU ĐĂNG QUANG,"049 Ấp 7, Xã Tân Bửu, Huyện Bến Lức, Long An",22/08/2024,22/08/2024,Đang Hoạt Động,0356 319 710,Trương Văn Trạng,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 22/08/2024."
1102067693,CÔNG TY CỔ PHẦN GIÁO DỤC VÀ GIẢI TRÍ TRUNG AN,"Số 6, Ấp 1, Xã Mỹ Yên, Huyện Bến Lức, Long An",22/08/2024,22/08/2024,Đang Hoạt Động,0931 252 559,Hồ Minh Trung,Công Ty Cổ Phần Ngoài Quốc Doanh (100% Vốn Tư Nhân),"Cập nhật lần cuối
ngày 22/08/2024."
1102067573,CÔNG TY TNHH GỖ CÔNG NGHIỆP MỘC TÂM AN,"65/1 Đường Nguyễn Trung Trực, Khu Phố 8, Thị Trấn Bến Lức, Huyện Bến Lức, Long An",22/08/2024,22/08/2024,Đang Hoạt Động,0927206225,Lò Văn Tiến,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 22/08/2024."
1102067661,CÔNG TY TNHH PHÁT TRIỂN VÀ ĐẦU TƯ PHẠM VĂN,"84/2 Rạch Tre, Ấp 6, Xã An Thạnh, Huyện Bến Lức, Long An",22/08/2024,22/08/2024,Đang Hoạt Động,0778194528,Phạm Văn Chỉnh,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 06/09/2024."
1102067703,CÔNG TY TNHH HƯNG THÀNH CÔNG VIỆT NAM,"Thửa 4037, Tbđ Số 01, Đường Số 9, Kdc Mai Thị Non, Thị Trấn Bến Lức, Huyện Bến Lức, Long An",22/08/2024,22/08/2024,Đang Hoạt Động,0939818331,Võ Chí Công,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),"Cập nhật lần cuối
ngày 22/08/2024."
1102067502,CÔNG TY TNHH NGUYÊN LIỆU PHỤ LIỆU XUÂN LÂM,"Số 1 Ấp 1A, Xã Mỹ Yên, Huyện Bến Lức, Long An",21/08/2024,21/08/2024,Đang Hoạt Động,0356048033,Nguyễn Xuân Lâm,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 21/08/2024."
1102067397,CÔNG TY TNHH KIM TRINH TECHNICAL,"Số 102A Nguyễn Trung Trực, Khu Phố 8, Thị Trấn Bến Lức, Huyện Bến Lức, Long An",21/08/2024,21/08/2024,Đang Hoạt Động,0987023638,Trần Trịnh Kim Trinh,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 21/08/2024."
1102067446,CÔNG TY TNHH THỰC PHẨM GIA BẢO L.A,"Thửa Đất Số 230, Tờ Bản Đồ Số 27, Ấp 3, Xã An Thạnh, Huyện Bến Lức, Long An",21/08/2024,21/08/2024,Đang Hoạt Động,0937189209,Nguyễn Hòa Quang,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 21/08/2024."
1102067485,CÔNG TY TNHH QUỲNH UYÊN,"Thửa Đất Số 1017, Tờ Bản Đồ Số 2, Ấp 1, Xã Phước Lợi, Huyện Bến Lức, Long An",21/08/2024,21/08/2024,Đang Hoạt Động,0908128647,Võ Thị Mỹ Phượng,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 29/08/2024."
1102067492,CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI DỊCH VỤ ĐỨC LINH,"Lô A12, Đường Dọc 2, Kcn Phú An Thạnh, Xã An Thạnh, Huyện Bến Lức, Long An",21/08/2024,21/08/2024,Đang Hoạt Động,0903011048,Từ Thiếu Linh,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 11/09/2024."
1102067220,CÔNG TY TNHH TMDV ĐẦU TƯ VỎ THU,"Số 450, Ấp 4, Xã Tân Bửu, Huyện Bến Lức, Long An",20/08/2024,20/08/2024,Không Hoạt Động Tại Địa Chỉ Đã Đăng Ký,0914531878,Vỏ Thị Cẩm Thu,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 27/09/2024."
1102067252,CÔNG TY TNHH ĐẦU TƯ PHÁT TRIỂN KIM NGỌC TP,"Số 47, Quốc Lộ 1A, Xã Mỹ Yên, Huyện Bến Lức, Long An",20/08/2024,20/08/2024,Đang Hoạt Động,0913841878,Sú Kim Ngọc,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 20/08/2024."
1102067220,CÔNG TY TNHH TMDV ĐẦU TƯ VỎ THU,"Số 450, Ấp 4, Xã Tân Bửu, Huyện Bến Lức, Long An",20/08/2024,20/08/2024,Không Hoạt Động Tại Địa Chỉ Đã Đăng Ký,0914531878,Vỏ Thị Cẩm Thu,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 27/09/2024."
1801645932-007,CÔNG TY ĐẤU GIÁ HỢP DANH MEKONG- CHI NHÁNH LONG AN,"Số 11, Đường Số 13, Khu Dân Cư Trung Tâm, Thị Trấn Bến Lức, Huyện Bến Lức, Long An",19/08/2024,28/08/2024,Đang Hoạt Động,0911096399,Lại Văn Sơn,Công Ty Hợp Danh 100% Vốn Tư Nhân,"Cập nhật lần cuối
ngày 28/08/2024."
1102067157,CÔNG TY TNHH SX TM XNK CON NGỰA XANH,"Nhà Xưởng 1A, Đường Số 1, Cụm Công Nghiệp Quốc Quang Long An, Xã Lương Bình, Huyện Bến Lức, Long An",16/08/2024,19/08/2024,Đang Hoạt Động,0918204214,Phạm Thị Thanh Đẹp,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 19/08/2024."
1102067012,CÔNG TY TNHH ANH PHÁT L.A,"Số 79, Đường Trần Thế Sinh, Khu Phố 10, Thị Trấn Bến Lức, Huyện Bến Lức, Long An",15/08/2024,15/08/2024,Đang Hoạt Động,0944 468 458,Đặng Ngọc Xuân Mai,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 20/08/2024."
1102066989,CÔNG TY TNHH KIẾN TRÚC XÂY DỰNG THƯƠNG MẠI MAKHUYA,"Số 467, Ấp 6, Xã Thạnh Đức, Huyện Bến Lức, Long An",15/08/2024,15/08/2024,Đang Hoạt Động,0981256895,Trần Anh Duy,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 16/08/2024."
1102067069,CÔNG TY TNHH VẬT LIỆU MỚI HANTE VIỆT NAM,"431A Đường Tỉnh Lộ 830, Ấp 7, Xã Lương Hòa, Huyện Bến Lức, Long An",15/08/2024,15/08/2024,Đang Hoạt Động,0337917626,Nguyễn Thành Trung,Công Ty TNHH MTV Ngoài Quốc Doanh,"Cập nhật lần cuối
ngày 16/08/2024."
0101889025-004,CHI NHÁNH LONG AN - CÔNG TY TNHH THƯƠNG MẠI VÀ DƯỢC PHẨM THÀNH AN,"Lô D1 � 3, Đường Vl4, Kcn Vĩnh Lộc 2, Xã Long Hiệp, Huyện Bến Lức, Long An",15/08/2024,15/08/2024,Đang Hoạt Động,N/A,Chử Thu Hằng,Công Ty TNHH 2 TV Trở Lên Ngoài Quốc Doanh (100% Vốn Tư Nhân),"Cập nhật lần cuối
ngày 22/08/2024."
1102066763,CÔNG TY CỔ PHẦN XÂY DỰNG QUANG THỊNH L.A,"Lô Aqu-B32.04, Số 115, Đường H11, Khu Đô Thị Vàm Cỏ Đông, Xã An Thạnh, Huyện Bến Lức, Long An",15/08/2024,15/08/2024,Đang Hoạt Động,0944557769,Hứa Quang Vinh,Công Ty Cổ Phần Ngoài Quốc Doanh (100% Vốn Tư Nhân),"Cập nhật lần cuối
ngày 15/08/2024."
1102066932,CÔNG TY TNHH PEACE - LON VIETNAM,"Lô C8B-2, Đường Ngang 4, Khu Công Nghiệp Phú An Thạnh, Xã An Thạnh, Huyện Bến Lức, Long An",15/08/2024,15/08/2024,Đang Hoạt Động,0915515544,Otake Hidenori,Công Ty TNHH MTV Đầu Tư Nước Ngoài,"Cập nhật lần cuối
ngày 16/08/2024."
